#E     Elastic XS       Rxn XS         Total XS
5         18.41206878         0.1994274087         18.61149619
10         12.2842833         0.2397622852         12.52404558
15         8.1913914         0.2624437864         8.453835186
20         5.522378124         0.2755730408         5.797951164
25         3.810482617         0.2819459659         4.092428583
30         2.745233926         0.2832432953         3.028477221
35         2.113750141         0.280748753         2.394498894
40         1.767414328         0.2755167615         2.042931089
45         1.602427104         0.2684148011         1.870841905
50         1.547131438         0.2601396597         1.807271098
55         1.553034597         0.2512332806         1.804267878
60         1.588195768         0.2421026494         1.830298417
65         1.632321315         0.2330421056         1.86536342
70         1.673161524         0.2242555453         1.89741707
75         1.703906772         0.2158766389         1.919783411
80         1.721340218         0.2079861032         1.929326321
85         1.724551056         0.2006257811         1.925176838
90         1.714054086         0.1938097168         1.907863803
95         1.691197924         0.1875326302         1.878730554
100         1.657774605         0.1817762567         1.839550861
105         1.615767432         0.1765139991         1.792281431
110         1.567192306         0.1717142818         1.738906588
115         1.514001313         0.1673429295         1.681344243
120         1.458027135         0.1633648225         1.621391958
125         1.400953731         0.1597450245         1.560698755
130         1.344303554         0.1564495322         1.500753086
135         1.289434883         0.1534457535         1.442880637
140         1.23754508         0.1507027977         1.388247877
145         1.189677106         0.1481916343         1.33786874
150         1.146727658         0.1458851619         1.292612819
155         1.109455911         0.1437582196         1.253214131
160         1.078492335         0.1417875577         1.220279893
165         1.054347273         0.1399517864         1.19429906
170         1.037419195         0.1382313088         1.175650504
175         1.028002583         0.1366082465         1.16461083
180         1.026295508         0.1350663618         1.16136187
185         1.032406931         0.1335909779         1.165997908
190         1.046363813         0.1321689002         1.178532713
195         1.068118078         0.130788338         1.198906416
200         1.097553468         0.1294388273         1.226992296
