#E     Elastic XS       Rxn XS         Total XS
5         421.7444599         0.4996377363         422.2440976
10         2017.414984         60.2907331         2077.705717
15         944.8503927         49.46277457         994.3131673
20         1354.964331         103.4305142         1458.394845
25         1545.642179         140.7581693         1686.400348
30         1570.493212         175.3038631         1745.797075
35         1641.212311         213.5951706         1854.807482
40         1661.210569         246.2681998         1907.478769
45         1649.227235         275.7292339         1924.956469
50         1624.308258         302.3366239         1926.644882
55         1590.720088         325.6333765         1916.353465
60         1552.414837         345.8730151         1898.287852
65         1512.901511         363.3847724         1876.286284
70         1474.185374         378.4228103         1852.608184
75         1437.29928         391.2476781         1828.546958
80         1402.77344         402.1214433         1804.894883
85         1370.819003         411.2845174         1782.103521
90         1341.437173         418.951895         1760.389068
95         1314.508555         425.3154353         1739.82399
100         1289.853888         430.5450453         1720.398934
105         1267.269516         434.789828         1702.059344
110         1246.547701         438.1799339         1684.727635
115         1227.488409         440.828683         1668.317092
120         1209.905703         442.8345811         1652.740285
125         1193.630617         444.2831558         1637.913773
130         1178.511863         445.24862         1623.760483
135         1164.415325         445.7953644         1610.210689
140         1151.222916         445.9792746         1597.202191
145         1138.831137         445.8488811         1584.680018
150         1127.149537         445.446357         1572.595894
155         1116.09921         444.8083813         1560.907591
160         1105.611372         443.9668844         1549.578256
165         1095.626074         442.94969         1538.575764
170         1086.091043         441.7810673         1527.872111
175         1076.960666         440.4822064         1517.442873
180         1068.195094         439.0716268         1507.26672
185         1059.759464         437.5655294         1497.324993
190         1051.623231         435.9780986         1487.60133
195         1043.759586         434.321764         1478.08135
200         1036.144953         432.6074254         1468.752379
4265
